id_unico,titulo,precio,medidas,tecnica,descripcion,serie,disponibilidad,soporte,tags,seccion
3,Manipulado,"$40,000",100x150cm,pintura al oleo,"""Manipulado"" es una pintura que representa un sentimiento interior, forma parte de la colección ""sensaciones ocultas"" en la que he estado trabajando en 2025-2026.

Durante la segunda mitad del 2025, mi creación artística se ha enfocado en el trabajo de sombras. Este enfoque busca explorar lo que usualmente permanece oculto: emociones reprimidas, traumas, miedos y aspectos fragmentados del ser. No se trata de belleza superficial, sino de profundidad, de descender hacia lo invisible y darle forma.

Cada obra es parte de un proceso de confrontación: imágenes que emergen desde lo no dicho, lo negado o lo olvidado. Así el arte se convierte en un espacio para que lo oscuro tome cuerpo y pueda ser observado sin filtros.

NOTA: Incluye la obra original que se muestra en las fotos, certificado de autenticidad y firma del autor, no incluye marco (se envía enrollada). Debido al tipo de monitor o pantalla los colores pueden ser ligeramente diferentes.",Sensaciones ocultas,EN VENTA,Lienzo,"aerosol, ojo, liso",galeria
6,Vacío,"$40,000",100x120cm,pintura al oleo,"""Vacío"" es una pintura que representa un sentimiento interior, forma parte de la colección ""sensaciones ocultas"" en la que he estado trabajando en 2025.

Durante la segunda mitad del 2025, mi creación artística se ha enfocado en el trabajo de sombras. Este enfoque busca explorar lo que usualmente permanece oculto: emociones reprimidas, traumas, miedos y aspectos fragmentados del ser. No se trata de belleza superficial, sino de profundidad, de descender hacia lo invisible y darle forma.

Cada obra es parte de un proceso de confrontación: imágenes que emergen desde lo no dicho, lo negado o lo olvidado. Así el arte se convierte en un espacio para que lo oscuro tome cuerpo y pueda ser observado sin filtros.

NOTA: Incluye la obra original que se muestra en las fotos, certificado de autenticidad y firma del autor, no incluye marco (se envía enrollada). Debido al tipo de monitor o pantalla los colores pueden ser ligeramente diferentes.",Sensaciones ocultas,EN VENTA,lienzo,,galeria
7,Violento,"$40,000",150x100cm,pintura al oleo,"""Violento"" es una pintura que representa un sentimiento interior, forma parte de la colección ""sensaciones ocultas"" en la que he estado trabajando en 2025.

Durante la segunda mitad del 2025, mi creación artística se ha enfocado en el trabajo de sombras. Este enfoque busca explorar lo que usualmente permanece oculto: emociones reprimidas, traumas, miedos y aspectos fragmentados del ser. No se trata de belleza superficial, sino de profundidad, de descender hacia lo invisible y darle forma.

Cada obra es parte de un proceso de confrontación: imágenes que emergen desde lo no dicho, lo negado o lo olvidado. Así el arte se convierte en un espacio para que lo oscuro tome cuerpo y pueda ser observado sin filtros.

NOTA: Incluye la obra original que se muestra en las fotos, certificado de autenticidad y firma del autor, no incluye marco (se envía enrollado). Debido al tipo de monitor o pantalla los colores pueden ser ligeramente diferentes.",Sensaciones ocultas,EN VENTA,lienzo,,galeria
8,Vanidades Ficticias,"$40,000",100x150cm,pintura al oleo,"“Vanidades Ficticias” es una pintura al óleo de gran formato que marca el cierre simbólico de mi colección “Fobias”, un proceso artístico que he desarrollado durante años para explorar los rincones más ocultos del miedo humano. Esta obra representa la obsesión con las apariencias, la fragilidad de lo que creemos valioso y el temor a no ser percibidos.

En este cuadro, los símbolos se deforman para retratar una belleza artificial y distorsionada, como si los objetos más deseados se desmoronaran bajo su propio peso. El rostro que oculta, los cuerpos que imitan, la identidad que se diluye: cada trazo y textura están cargados de una inquietud silenciosa.

NOTA: Incluye la obra original que se muestra en las fotos, certificado de autenticidad y firma del autor, no incluye marco. Debido al tipo de monitor o pantalla los colores pueden ser ligeramente diferentes.",Fobias,EN VENTA,Lienzo,,galeria
11,Anhelo de sosiego,"$25,000",60x80cm,pintura al oleo,"En su obra, el artista busca plasmar el anhelo de hallar instantes de serenidad y calma, contrarrestando el estrés y la ansiedad que conlleva la rutina cotidiana. Centrándose en el Trastorno de Ansiedad Generalizada (TAG), la figura humana emerge como el epicentro de un entorno caótico, donde las siluetas circundantes se convierten en símbolos de inquietudes y pensamientos ansiosos. Obra 100% original del artista.",Fobias,EN VENTA,Lienzo,,galeria
14,Fobia,"$25,000",60x80cm,pintura al oleo,"Esta pieza forma parte de una colección de 10 pinturas al óleo en las que se pretenden representar diferentes fobias. Obra 100% original del artista. Pintura al óleo sobre MDF de 6mm, no incluye marco.",Fobias,EN VENTA,MDF,,galeria
15,Fobia 04,"$25,000",60x80cm,pintura al oleo,"Esta pieza forma parte de una colección de 10 pinturas al óleo en las que se pretenden representar diferentes fobias. Obra 100% original del artista. Pintura al óleo sobre MDF de 6mm, no incluye marco.",Fobias,EN VENTA,Lienzo,,galeria
44,Arquitectura,"$25,000",60x80cm,pintura al oleo,"Retratando obras en situaciones fantasiosas y surrealistas. “Buscando la libertad constructiva en mis ideas, con amor hacia la arquitectura y al arte, pasé de la representación digital al pincel y pintura al óleo.” Realizada en agosto del 2021, es una obra 100% original del artista. Pintura al óleo sobre mdf de 6mm, (sin marco).",ARQUITECTURA,EN VENTA,MDF,,galeria
16,Destellos del más allá I,"$5,000",28cm x 19cm x 0.2cm,ACUARELA,"Esta obra pertenece a la serie Destellos del más allá, un conjunto de acuarelas de formato íntimo donde una figura esquelética aparece como un emblema de luz y fragilidad. Los huesos iluminados y las ornamentaciones que emergen de su estructura expresan una tensión entre lo corpóreo y lo eterno, entre la presencia física y los ecos de algo que se percibe “más allá”. La serie propone una contemplación cercana, donde cada elemento funciona como fragmento de un todo que se despliega solo al mirar con atención.

Acuarela sobre papel Fabriano (no incluye marco).

Disponible como serie completa precio preferencial al adquirir las cuatro obras.",DESTELLOS DEL MÁS ALLÁ,EN VENTA,papel,,galeria
19,Destellos del más allá II,"$5,000",28cm x 19cm x 0.2cm,acuarela,"Esta obra pertenece a la serie Destellos del más allá, un conjunto de acuarelas de formato íntimo donde una figura esquelética aparece como un emblema de luz y fragilidad. Los huesos iluminados y las ornamentaciones que emergen de su estructura expresan una tensión entre lo corpóreo y lo eterno, entre la presencia física y los ecos de algo que se percibe “más allá”. La serie propone una contemplación cercana, donde cada elemento funciona como fragmento de un todo que se despliega solo al mirar con atención.

Acuarela sobre papel Fabriano (no incluye marco).

Disponible como serie completa precio preferencial al adquirir las cuatro obras.",DESTELLOS DEL MÁS ALLÁ,EN VENTA,papel,,galeria
